term,DNP_mean,DP_mean,DNP_vs_DP,ttest_statistics,ttest_pvalues,ttest_fdr,ranksums_statistics,ranksums_pvalues,ranksums_fdr,DNP_percentage,DP_percentage
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.07984830372939256,-0.06658514803081707,-0.013263155698575488,-1.2667064309104858,0.21627837216278373,0.2656591640506641,-1.2423859437300493,0.21409419927515227,0.25459235811784847,1.0,1.0
HALLMARK_APOPTOSIS,-0.013795736468389021,-0.05023476564140333,0.03643902917301431,3.599810323348277,0.0004999500049995,0.001562692892721901,3.044528191778033,0.00233045587402094,0.005184453524909408,1.0,1.0
HALLMARK_ADIPOGENESIS,0.12433855144500437,0.1240247494112725,0.00031380203373186644,0.03265623117180456,0.975002499750025,0.9758745950091932,-0.21844148461187682,0.8270851458235551,0.8459856290462141,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0032904316225117903,0.01924072727151116,-0.01595029564899937,-1.2365230663072113,0.22367763223677634,0.27384602896384325,-1.1877755725770802,0.2349218406735143,0.2778832343696221,1.0,1.0
HALLMARK_ANDROGEN_RESPONSE,-0.186028443497998,-0.21253301017819826,0.026504566680200264,2.414930112630161,0.014698530146985302,0.023906475631506618,2.6212978153425217,0.008759570335121316,0.015534008248812603,1.0,1.0
HALLMARK_MYOGENESIS,0.047486724080569656,0.012201535274731187,0.03528518880583847,3.439300130463536,0.0013998600139986002,0.0032702366506564373,2.6212978153425217,0.008759570335121316,0.015534008248812603,1.0,1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.20187434896413226,-0.1997258724542295,-0.0021484765099027414,-0.10724647580672424,0.9146085391460854,0.9170671642513168,-0.0819155567294538,0.9347138635337146,0.9439935138034535,1.0,1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.009485036800903809,-0.003187892208755914,0.012672929009659724,1.0287452627760685,0.3030696930306969,0.35400311743355933,0.7235874177768419,0.4693190682405006,0.5194540428893375,1.0,1.0
HALLMARK_APICAL_JUNCTION,-0.3045283263655137,-0.2976105688417815,-0.006917757523732193,-0.38345547763027776,0.6965303469653035,0.7297916275788152,-0.34131481970605754,0.7328665925385192,0.7628629926052121,1.0,1.0
HALLMARK_COMPLEMENT,0.10143074527621262,0.07036688097868206,0.031063864297530566,3.96818749754823,0.00039996000399960006,0.0013480579652878086,3.222011898025183,0.0012729384898922226,0.0033049145480032417,1.0,1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.1937079869540886,-0.20030931658693538,0.006601329632846764,0.5883880625522709,0.5548445155484452,0.5964178798258503,-0.1774837062471499,0.8591284625908258,0.8755598812742569,1.0,1.0
HALLMARK_INFLAMMATORY_RESPONSE,-0.2647383128322252,-0.29705847130500346,0.03232015847277825,1.319600645267336,0.18858114188581143,0.23577910365388044,1.4608274283419262,0.14406280658149997,0.17852301280697505,1.0,1.0
HALLMARK_XENOBIOTIC_METABOLISM,0.03846817973503683,-0.00487141750907782,0.043339597244114646,4.307379711658218,9.999000099990002e-05,0.0007935376675098448,4.3688296922375365,1.2491412976145522e-05,0.0007308823803766796,1.0,1.0
HALLMARK_GLYCOLYSIS,-0.2851951143774152,-0.25642360964630245,-0.02877150473111273,-1.0844673629962842,0.2802719728027197,0.33024865934459186,-0.955681495176961,0.339233174306522,0.390536956840533,1.0,1.0
HALLMARK_UV_RESPONSE_UP,-0.18624655838408935,-0.18433833112462328,-0.001908227259466072,-0.1524901462037569,0.8805119488051195,0.88875431663326,-0.027305185576484602,0.9782163209200347,0.9808459346859488,1.0,1.0
HALLMARK_ANGIOGENESIS,0.1678975910495967,0.1263672831096523,0.04153030793994439,3.655292477633657,0.00039996000399960006,0.0013480579652878086,3.2493170836016674,0.0011568245026899145,0.0030602520532151643,1.0,1.0
HALLMARK_HEME_METABOLISM,-0.018308197625575756,-0.0909566539303753,0.07264845630479955,3.4162252122682872,0.000999900009999,0.002542927525429275,3.2356644908134253,0.001213599384760069,0.003180369347884115,1.0,1.0
HALLMARK_COAGULATION,0.051674967476482876,0.01829481458621374,0.03338015289026913,3.9769390305344237,0.00039996000399960006,0.0013480579652878086,3.6588948672489363,0.0002533052205536267,0.0010943959142838157,1.0,1.0
HALLMARK_IL2_STAT5_SIGNALING,-0.10272142422543211,-0.13390025740379813,0.03117883317836602,2.217189616618334,0.029197080291970802,0.04327355343935805,2.25267781005998,0.024279471054992063,0.03651710767545177,1.0,1.0
HALLMARK_BILE_ACID_METABOLISM,0.17269888356688073,0.14525543967108706,0.027443443895793673,2.55821558385496,0.012798720127987202,0.021312154498835834,2.7851289288014294,0.0053506443185130665,0.010305285701232568,1.0,1.0
HALLMARK_PEROXISOME,0.17688629222069674,0.14893756955490625,0.027948722665790487,2.699748379397822,0.007799220077992201,0.013657789150662398,2.6895607792837333,0.0071546117027585145,0.013081716495730028,1.0,1.0
HALLMARK_ALLOGRAFT_REJECTION,-0.11652199555121441,-0.13503977641215847,0.018517780860944064,1.5793735500046184,0.1212878712128787,0.1573963113538009,0.8601133456592649,0.38972656528499616,0.4387364452252623,1.0,1.0
HALLMARK_KRAS_SIGNALING_UP,0.11433467111863568,0.08213205176001669,0.032202619358619,4.020462381651633,0.00039996000399960006,0.0013480579652878086,3.56332671773124,0.00036618445082475576,0.0013937428587513664,1.0,1.0
HALLMARK_KRAS_SIGNALING_DN,-0.20326373447459078,-0.20702965702074733,0.0037659225461565415,0.3711891622986364,0.7108289171082892,0.7419939908994175,0.2867044485530883,0.7743386310773925,0.798603620438343,1.0,1.0
KEGG_PPAR_SIGNALING_PATHWAY,0.14831089700202774,0.09778805720949421,0.050522839792533525,4.442451094651343,9.999000099990002e-05,0.0007935376675098448,4.232303764355113,2.313097081726866e-05,0.0007308823803766796,1.0,1.0
KEGG_FOCAL_ADHESION,0.048069707492282454,0.027548617579960737,0.020521089912321717,1.5408742097125567,0.12308769123087691,0.15941565565665658,1.5563955778596223,0.11961405610225298,0.15005395602962004,1.0,1.0
KEGG_ECM_RECEPTOR_INTERACTION,-0.11239511523591737,-0.12920989390802246,0.016814778672105082,1.6626428483681177,0.09779022097790221,0.12965314842923292,1.7475318768950145,0.08054512045441342,0.10431711781075072,1.0,1.0
KEGG_CELL_ADHESION_MOLECULES_CAMS,-0.25055724544264185,-0.27087348122845173,0.020316235785809877,0.8846724592810314,0.36746325367463256,0.41576479359141943,1.3106489076712609,0.18997640762212076,0.22809399155488533,1.0,1.0
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.008043611349196811,-0.01608164001150431,0.024125251360701122,2.9484331695644923,0.004999500049995001,0.009247009183379184,2.1571096605422833,0.030997121074337525,0.045222657734268173,1.0,1.0
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,-0.23412821972906367,-0.12478355090268815,-0.10934466882637552,-3.7077768756218616,0.0004999500049995,0.001562692892721901,-3.372190418695848,0.0007457287060722892,0.0022017689237332234,1.0,1.0
KEGG_HEMATOPOIETIC_CELL_LINEAGE,-0.4067437119815837,-0.42042121975119806,0.01367750776961435,1.3021626776232502,0.20007999200079993,0.24849002336170378,1.269691129306534,0.20419467384223178,0.24359684438108462,1.0,1.0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.04201960269768716,-0.007086289793567511,0.049105892491254674,3.9163533990831794,0.00039996000399960006,0.0013480579652878086,3.56332671773124,0.00036618445082475576,0.0013937428587513664,1.0,1.0
KEGG_PRION_DISEASES,-0.028431211065036786,-0.026430392720831183,-0.002000818344205603,-0.2843844495017264,0.7781221877812219,0.7991178883944786,-0.9420289023887187,0.34617784272079877,0.3968985717259978,1.0,1.0
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.019219101522303685,-0.004336733969803371,0.023555835492107057,2.1380804203611885,0.034996500349965,0.050400365368868515,0.8328081600827804,0.40495293186945824,0.4540504316251741,1.0,1.0
REACTOME_HEMOSTASIS,0.14041119072554165,0.141685213259043,-0.0012740225335013677,-0.35523622652426345,0.7249275072492751,0.7553015648155855,-0.2047888918236345,0.8377370661291306,0.8560984264826458,1.0,1.0
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN,0.17754890639616158,0.08462579021423162,0.09292311618192996,3.226583795010652,0.0017998200179982,0.003956775245854589,3.0172230062015486,0.0025510206446464952,0.005542897284193065,1.0,1.0
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE,0.17754890639616158,0.08462579021423162,0.09292311618192996,3.226583795010652,0.0017998200179982,0.003956775245854589,3.0172230062015486,0.0025510206446464952,0.005542897284193065,1.0,1.0
REACTOME_DEVELOPMENTAL_BIOLOGY,-0.33743598856430695,-0.3351402625795916,-0.0022957259847153355,-0.07876253006726057,0.9402059794020597,0.9418894278880079,-0.7918503817180534,0.42844792148641697,0.47847627160010037,1.0,1.0
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,0.03715945699386508,0.05386704839106422,-0.016707591397199142,-1.589493828627057,0.1146885311468853,0.14957630111114764,-1.4471748355536838,0.14784796259716457,0.18200425758660854,1.0,1.0
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.09060220890756791,0.13749896939034664,-0.04689676048277873,-4.189817722756769,0.0004999500049995,0.001562692892721901,-4.054820058107963,5.017291043001286e-05,0.0007308823803766796,1.0,1.0
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,-0.01510591638082267,-0.05284486283685701,0.03773894645603434,4.441262676895058,9.999000099990002e-05,0.0007935376675098448,4.054820058107963,5.017291043001286e-05,0.0007308823803766796,1.0,1.0
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,0.030191400338717367,0.012485206684197565,0.0177061936545198,1.691207466394328,0.09729027097290271,0.12914331342666446,2.4711192946718565,0.013469087899621533,0.022395110489861064,1.0,1.0
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE_,0.0043031690173637345,-0.01973866066896861,0.024041829686332346,2.948039024230282,0.003999600039996,0.007703188373073192,3.208359305236941,0.001334946071871806,0.0034027440875274506,1.0,1.0
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.00916343514783186,-0.011738421468732472,0.02090185661656433,2.5776383533381315,0.0093990600939906,0.016180843454116127,3.044528191778033,0.00233045587402094,0.005184453524909408,1.0,1.0
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.04448495278441006,0.034966881615372085,0.009518071169037974,1.1877606484190968,0.23447655234476553,0.28304127516050986,1.856752619200953,0.06334635748334658,0.08418595489770168,1.0,1.0
REACTOME_ELASTIC_FIBRE_FORMATION,0.1315540054407842,0.11584872292068024,0.015705282520103947,1.651095533061774,0.100989901009899,0.13310683065969023,1.8157948408362259,0.0694018490014779,0.09168910157338107,1.0,1.0
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS,-0.006518006040361844,-0.04568124325580267,0.03916323721544082,3.50050197287152,0.0008999100089991,0.002369410117811748,3.099138562931002,0.0019408422655835009,0.004496485497283514,1.0,1.0
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS,-0.006518006040361844,-0.04568124325580267,0.03916323721544082,3.50050197287152,0.0008999100089991,0.002369410117811748,3.099138562931002,0.0019408422655835009,0.004496485497283514,1.0,1.0
